,input,target,clipped_input,predicted_ed,predicted_at
98,"Therefore , implementing new policy of encouraging elder employment will help both economically and socially for countries with aging population .","Therefore , implementing the new policy of encouraging employment of the elderly will help both economically and socially for countries with aging population .","Therefore , implementing new policy of encouraging elder employment will help both economically and socially for countries with aging population","Therefore , went new a of of the a will help both can and and and and with . population","Therefore , , new policy policy communications and positions will help both economy and violence for countries with aging population population"
99,"Growing gray population means more things to be sacrificed ; one of them is public money that is spent to fund the aged , or usually known as public spending for the aged .","A growing gray population means more things to be sacrificed sacrificed-- one of them is public money that is spent to fund the aged , usually known as public spending for the aged .","Growing gray population means more things to be sacrificed ; one of them is public money that is spent to fund the aged , or usually known as public spending for the","The gray population means more things to be are ; one of them is public money that is a to a the the , or usually . as","Growing gray population means more things to be be ; one of them is public money that is a to to the the , or or about as public the ."
100,"Intertwined with the social issue of AIDS , the economical situation also hurdled the idea of using broadcast to educate people .","Intertwined with the social issue of AIDS , the economic situation also hurdled the idea of using broadcasting to educate people .","Intertwined with the social issue of AIDS , the economical situation also hurdled the idea of using broadcast to educate people","with the social issue of of , the the situation also situation the idea of using .","The with the social issue of of , the economical situation , is the idea idea the certain . . ."
101,The individual is in ethical dilemma of whether sharing the genetic test results within the families .,The individual is in ethical dilemma of whether to share the genetic test results within the families .,The individual is in ethical dilemma of whether sharing the genetic test results within the families,The individual is in of of of of to the to to results to the the the the,"The individual is in of this of , and the the the the the the the the the"
102,"For example , they do not like to wait much . ","For example , they do not like to wait much . ","For example , they do not like to wait much","For example , they do not like to wait much","For example , they do not like to wait to"
103,"On that condition , new energy , especially nuclear power , will be our first choice to carry on our development , for which we must change our attitude towards nuclear power .","Based on that condition , new energy , especially nuclear power , , for which we must change our attitude towards nuclear power .","On that condition , new energy , especially nuclear power , will be our first choice to carry on our development , for which we must change our attitude towards nuclear power","On that condition , new energy , especially the power , will be our first choice to to to our development , for which we must change change attitude our nuclear","On that condition , new energy , , , power , will be our first choice to carry on our development , for which we must change our our in ."
104,It is likely that this genetically modified plant was give three hundred percent yield is actually not surviving until harvest .,It is likely that this genetically modified plant with three hundred percent yield is actually not surviving until harvest .,It is likely that this genetically modified plant was give three hundred percent yield is actually not surviving until harvest,It is likely that this commit Jesus plant was give three hundred percent the is actually not . until .,It is likely that this genetically modified plant was give three hundred percent the is actually not
105,"Firstly , the fundamental flow of modern economy is a market capitalism in which most of the economic assets and system are owned by the private sector , not the public sector , government .","Firstly , the fundamental flow of a modern economy is market capitalism in which most of the economic assets and system are owned by the private sector , not the public sector and government .","Firstly , the fundamental flow of modern economy is a market capitalism in which most of the economic assets and system are owned by the private sector , not the public sector","Firstly , the fundamental flow of modern economy is a market are in which most of the economic economic and and are is is the private of , , the public","Firstly , the fundamental flow of modern economy is a market capitalism in which most of the economic growth and system is which by the the the , , the the"
106,"However , these 2 researches involve debatable points in ethics and religion which need to be resolve .","However , these 2 researches involve debatable points in ethics and religion which need to be resolved .","However , these 2 researches involve debatable points in ethics and religion which need to be resolve","However , these , research not wondering points in in and religion which need to be .","However , these the research involved proven points in the and religion which need to be resolve"
107,So a higher operating temperature of VHTR would allow for more electricity to be produced as compared to gas cooled reactors .,So a higher operating temperature of VHTR would allow for more electricity to be produced compared to gas cooled reactors .,So a higher operating temperature of VHTR would allow for more electricity to be produced as compared to gas cooled reactors,So a higher C temperature of the would allow for more electricity to be produced as compared to gas gas .,So a higher income temperature of of temperature electricity for more electricity to be produced as compared to gas
108,"However , considering the future financial inputs that these well-equipped workforces would generate , it would prove that it is a worthwhile investment for the country .","However , considering the future financial input that these well-equipped workforces would generate , proves that it is a worthwhile investment for the country .","However , considering the future financial inputs that these well-equipped workforces would generate , it would prove that it is a worthwhile investment for the country","However , considering the future financial , that these these consecutive , , , it would prove that it it a worthwhile . for","However , considering the future financial financial the of the status the existence , , would would that that that is is for the"
109,"With much improved equipment and tools , they able to treat illnesses with much higher efficiency .","With much improved equipment and tools , they are able to treat illnesses with much higher efficiency .","With much improved equipment and tools , they able to treat illnesses with much higher efficiency","With much has equipment and and , they and to to and with much . .","With much improved equipment and tools , they to to treat the with much than efficiency"
110,"For scrubbers , there are external and system parameters that are affecting the efficiency .","For scrubbers , there are external and system parameters that affect efficiency .","For scrubbers , there are external and system parameters that are affecting the efficiency","For , , there are external and system features that are is the .","For the , there are external and system wilderness that are creativity the efficiency"
111,"To my way of thinking , economic factors should be the most considerable solution .","In my opinion , economic factors should be the most important solution .","To my way of thinking , economic factors should be the most considerable solution","To my way of thinking , economic factors should be the most considerable solution solution solution","To my way of thinking , economic factors should should the the considerable the"
112,It is the duty of the younger generations to display more filial piety towards their aged parents as they are the one who took care of us during our growing up days .,It is the duty of the younger generations to display more filial piety towards their aged parents as they are the ones who took care of us during our growing up days .,It is the duty of the younger generations to display more filial piety towards their aged parents as they are the one who took care of us during our growing up days,It is the duty of the younger generations to display more are to to their aged parents as they are the one who took care of us during our,It is the duty of the younger generations to display more and to to their aged parents their they they the one who took care care us during our growing up
113,always natural disaster bring economy damage . ,Natural disasters always bring damage to the economy . ,always natural disaster bring economy damage,But natural disaster be the trend trend,always natural disaster save economy damage damage
114,"In recent decades , academic debate has centered upon gauging the effect of modernization or industrialization on levels of familial support ( Cowgill and Holmes 1972 ; Martin and Kinsella 1994 ) .","In recent decades , academic debate has centered upon gauging the effect of modernization or industrialization on levels of familial support .","In recent decades , academic debate has centered upon gauging the effect of modernization or industrialization on levels of familial support ( Cowgill and Holmes 1972 ; Martin and Kinsella 1994 )","In recent decades , academic debate has regular upon , the effect of intellectual or one's on the of family support support TO and Holmes Holmes ; . and .","In recent decades , academic debate has A upon construction the effect of of or , , levels of of support vision status and and"
115,"To this day , I still remember what we studied that day in class .","To this day , I still remember what we studied on that day in class .","To this day , I still remember what we studied that day in class","To this day , I still remember what we studied that day in class class","To this day , I still remember what we studied that day in class class"
116,So in this field it is very importnat to understand all concepts and idease which they gave us and use to solve problems . ,"So in this field , it is very important to understand all the concepts and ideas they gave us and use them to solve problems . ",So in this field it is very importnat to understand all concepts and idease which they gave us and use to solve problems,"So in this field it is very important to understand all concepts and , which they gave us and use to . problems",So in this field it is very important to understand all concepts and and which they gave us and to to solve problems .
117,Many skeptics oppose the idea of building nuclear reactors as they fear similar incident to that in Chernobyl might happen again .,Many skeptics oppose the idea of building nuclear reactors as they fear that a similar incident to that in Chernobyl might happen again .,Many skeptics oppose the idea of building nuclear reactors as they fear similar incident to that in Chernobyl might happen again,Many some are the idea of building nuclear of as they fear similar and to that in the that happen . .,Many the oppose the idea of building nuclear the the they the the the to that that the . happen happen happen happen happen
118,For example they can play football whenever they want but the olders can not . ,"For example , they can play football whenever they want , but the elders cannot . ",For example they can play football whenever they want but the olders can not,For example they can play football they they want but but the the not not,"For example they can play play whenever they want , the the can not"
119,"But they will not expect that the meltdown proof in VHTR can cool them down when accidents happen and minimize the interaction with human beings ( Butler , 2004 ) .","But they will not expect that the meltdown proof in VHTR can cool itself down when accidents happen and minimize the interaction with human beings ( Butler , 2004 ) .","But they will not expect that the meltdown proof in VHTR can cool them down when accidents happen and minimize the interaction with human beings ( Butler , 2004 )",But they will not expect that the bet prove in in . cool it down when accidents happen and and the the with human human human human .,"But they will not expect that the the proof in the the , it down when the happen not to the labor from human human human human human , . ."
120,Surveillance dated back all the way from ancient times .,Surveillance dated back all the way to ancient times .,Surveillance dated back all the way from ancient times,style their back all the way from ancient,The celebrating back all the way from .
121,"But if this spending can be alternatively channelled into other sectors of the country 's development , such as infrastructure and domestic economy as mentioned above , the country will achieve long-run success and stability .","But if this spending can be alternatively channelled into other sectors of the country 's development , such as infrastructure and domestic economy as mentioned above , the country will achieve long-term success and stability .","But if this spending can be alternatively channelled into other sectors of the country 's development , such as infrastructure and domestic economy as mentioned above , the country will achieve long-run","But if this spending can be regular , into other the of the country 's development , such as mainly and domestic economy as mentioned above , the the will achieve","But if this spending can be bonds , into other the of the country 's development , such as infrastructure and domestic economy as mentioned above , the country will achieve"
122,"Through current research and development , some of those problems had been eased significantly , providing a better aging experience .","Through current research and development , some of those problems have been eased significantly , providing a better aging experience .","Through current research and development , some of those problems had been eased significantly , providing a better aging experience","Through current research and development , some of those problems had been ready a , providing a better . experience","Through current research and development , some of those problems had been happily various , providing a better aging experience"
123,The public spending on the old-aged should not be limited such that the limitation is based on the of old-age population five to ten years back .,Public spending on the aged should not be limited .,The public spending on the old-aged should not be limited such that the limitation is based on the of old-age population five to ten years back,The public spending on the the should not be limited such such the of is is on on of of of population,The public spending on the construction should not be limited such that the decision is is is the the of of
124,"( MR MAH B T ) "" This BFA Code requires all new buildings , as well as existing ones undergoing major retrofitting works , to meet certain barrier-free requirements .","( ) . "" This BFA Code requires all new buildings , as well as the existing ones to undergo major retrofitting works , to meet certain barrier-free requirements .","( MR MAH B T ) "" This BFA Code requires all new buildings , as well as existing ones undergoing major retrofitting works , to meet certain barrier-free requirements","magazines outlet B T , , This , Code requires all new buildings , as well as the ones those . . .","The , circle B T ' ' This construction Code requires all new buildings , as well as the the are major ."
125,Oakland Coliseum located in the United States has made use of RFID to track their staff so as to increase the efficiency in deploying of quick response teams in times of need .,Oakland Coliseum located in the United States has made use of RFID to track its staff to increase the efficiency in deploying quick response teams in times of need .,Oakland Coliseum located in the United States has made use of RFID to track their staff so as to increase the efficiency in deploying of quick response teams in times of need,"Moscow Moscow located in the United States has made use of of to track their staff so , to to the and in in in . .",A training located in the United States has made use of of of track the staff so as to to the efficiency in the of . . . .
126,"Furthermore , surveillance technologies also can be used to improve the social security .","Furthermore , surveillance technologies can also be used to improve the social security .","Furthermore , surveillance technologies also can be used to improve the social security","Furthermore , surveillance technologies also can be used to improve the social security","Furthermore , surveillance technologies also can be used to improve the social security"
127,The testing stage is usually either the most rewarding or heart- breaking stage of a design process .,The testing stage is usually either the most rewarding or the most heart- breaking stage of a design process .,The testing stage is usually either the most rewarding or heart- breaking stage of a design process,"The testing stage is usually either the most is or or , the of the design process process",The testing stage is usually either the most Her or or breaking stage of design
128,"With the current policies such as upgrading of their residences ' facilities and longer working lives , the aging process has been eased to a large extend .","With the current policies such as upgrading of their residences ' facilities and longer working lives , the aging process has been eased to a large extent .","With the current policies such as upgrading of their residences ' facilities and longer working lives , the aging process has been eased to a large extend","With the current policies such as to of their months ' facilities and longer working lives , the , process has been ready to a large .","With the current policies such as the of their parks ' facilities and more working in , the aging process has has happily to"
129,"It is a method where the person 's DNA is taken and isolated to test for the presence of any defects or a specific genes that could cause any future onset of disorders or diseases ( Genetic testing , n.d. ) .","It is a method where the person 's DNA is taken and isolated to test for the presence of any defects or specific genes that could cause any future onset of disorders or diseases ( Genetic testing , n.d. ) .",It is a method where the person 's DNA is taken and isolated to test for the presence of any defects or a specific genes that could cause any future onset of. d. ),It is a method where the person 's DNA is taken and and to to for the the of of of or a specific or that could that not the,It is a method where the person 's DNA is is and isolated to to for the a of of of or a specific specific that that cause any the the
130,The country needs healthy and abled citizens to ensure the country 's progress .,The country needs healthy and able citizens to ensure the country 's progress .,The country needs healthy and abled citizens to ensure the country 's progress,The country needs healthy and able citizens to ensure the country 's progress .,The country needs healthy and to citizens to ensure the country the the
131,"However , nowadays new technology is playing a more and more important role in the whole society and replacing the importance of resources .","However , nowadays new technology is playing a more and more important role in society and replacing the importance of resources .","However , nowadays new technology is playing a more and more important role in the whole society and replacing the importance of resources","However , nowadays new new is playing a more and more important important in in whole society and and society the of of","However , nowadays new technology is is a more and more important role in the whole society and and the importance importance of"
132,Friedland and Laura Summer ( 2005 ) state that the key word in fighting against aging population is economic growth .,Friedland and Summer ( 2005 ) state that the key word in fighting against aging population is economic growth .,Friedland and Laura Summer ( 2005 ) state that the key word in fighting against aging population is economic growth,"and , Summer Valentine's , , state that the key word in fighting against . population is",The and trainees the globe construction construction state that the key word in fighting against aging population population economic growth growth growth
133,"however , I agree that having knowledge is being useful whenever we necessary information . ","However , I agree that having knowledge is useful whenever we need information . ","however , I agree that having knowledge is being useful whenever we necessary information","However , I agree that having knowledge is being useful whenever we necessary information information","However , I agree that having knowledge is being useful we necessary necessary"
134,"In addition , aging population has not been an area of concern in the past and only recently the aged have formed a significant population in developed countries .","In addition , an aging population has not been an area of concern in the past and only recently have the aged formed a significant population in developed countries .","In addition , aging population has not been an area of concern in the past and only recently the aged have formed a significant population in developed countries","In addition , , population has not been an area of concerned in the past and only recently the aged have formed a significant population in developed countries countries","In addition , aging population has not been an area of concerned in the past and only recently the aged have formed a significant population in developed countries"
135,"After all , the younger generations are the futures of Singapore who will soon be the ones taking care of the aged .","After all , the younger generations represent the future of Singapore and they will soon be the ones taking care of the aged .","After all , the younger generations are the futures of Singapore who will soon be the ones taking care of the aged","After all , the younger generations are the the of Singapore who will soon be the ones . care of","After all , the younger generations are the the of Singapore who will soon be the one . care of the aged"
136,The 'greying of society ' has become a serious issue for several developing and developed countries in the world today .,The 'greying of society ' has become a serious issue for several developing and developed countries today .,The 'greying of society ' has become a serious issue for several developing and developed countries in the world today,The main of society ' has become a serious issue for several developing and developed countries countries in world,The current of society ' has become a serious issue for several developing and developed countries in in world
137,"In recent years , public spending on the aged has gradually increased , sparking countless discussions about whether public spending on the aged should bre limited , so that the money can be diverted to other areas of the country 's development .","In recent years , public spending on the aged has gradually increased , sparking countless discussions about whether public spending on the aged should be limited , so that the money can be diverted to other areas of the country 's development .","In recent years , public spending on the aged has gradually increased , sparking countless discussions about whether public spending on the aged should bre limited , so that the money can","In recent years , public spending on the aged has gradually has , , countless discussions about whether public spending on the aged should the limited , so so the .","In recent years , public spending on the aged has gradually increased , , countless discussions about whether public spending in the aged should the limited , so that the money"
138,"Physical loss in sight , hearing , mobility , continence are very common .","loss in sight , hearing and mobility as well as the development of are very common .","Physical loss in sight , hearing , mobility , continence are very common","Physical loss in the , . , , , ,","Physical loss in , , hearing , , , , , , very very very"
139,"Potable water , the source of life , has become the largest demand in third world countries .","Potable water , the source of life , has become in third world countries .","Potable water , the source of life , has become the largest demand in third world countries","water , the sauce of life , has become the the demand in the world .","The the , the source of life , has become the largest demand in third world world ."
140,"In addition , both technologies have gone through numerous trials before it becomes what it is now .","In addition , both technologies have gone through numerous trials before they become what they are now .","In addition , both technologies have gone through numerous trials before it becomes what it is now","In addition , both technologies have gone through numerous of before it becomes what it is now .","In addition , both technologies have gone through numerous numbers before before be that it is it"
141,"In the twenty years , they also can give us the better cars to use less resources-consumed transportation tools and give us the much more convenience tools for our travelling .","In the next twenty years , they also can give us the better cars to use less resources consumed , transportation tools that give us the much more convenience , and tools for our travelling .","In the twenty years , they also can give us the better cars to use less resources-consumed transportation tools and give us the much more convenience tools for our travelling","In the twenty years , they also can give us the better cars to use less as the tools and and us us the more convenient tools tools for .","In the twenty years , they also can give us the better cars to use less the transportation tools and give us the much more more for"
142,"On the other side the increase in public spending may cause self-dependency , which is that the aged population will than totally rely on the workforce and the governments for their needs and thus would be exploiting the economy rather than contributing in it .","On the other hand , the increase in public spending may cause dependency , which means that the aged will then totally rely on the workforce and the government for their needs and thus would be exploiting the economy rather than contributing to it .","On the other side the increase in public spending may cause self-dependency , which is that the aged population will than totally rely on the workforce and the governments for their needs","On the other side the increase in public spending may cause , , which is that the aged population which than totally the on the the and the the the their","On the other side the increase in public spending may cause of , which is that the aged population , than totally rely on the the and the governments for their"
143,The existence of the older workforce not only increases the input of the economy but also enables elderly to gain some form of steady income .,The existence of the older workforce not only increases the input of the economy but also enables the elderly to gain some form of steady income .,The existence of the older workforce not only increases the input of the economy but also enables elderly to gain some form of steady income,"The existence of the older , not only the the behavior of the economy but also enables the to to some of of .",The existence of the older officers not only increases the income of the economy economy also enables elderly to gain some form of
144,Also they can go for shopping and buying a new fashionable clothes . ,"Also , they can go shopping and buy new , fashionable clothes . ",Also they can go for shopping and buying a new fashionable clothes,Also they can go for shopping and buying a new . clothes,Also they can go to shopping and buying a new clothes clothes clothes
145,It may be objected that these actions are superficial and inadequate as they do not directly deal with the problems related to old age ; therefore are unable to ease the aging process .,These actions are superficial and inadequate as they do not directly deal with the problems related to old age ; and therefore are unable to ease the aging process .,It may be objected that these actions are superficial and inadequate as they do not directly deal with the problems related to old age ; therefore are unable to ease the aging,"It may be to that these actions are even and is as they do not directly deal with the problems related to old age , , are not to ease the",It may be to that these actions are so and and as they do not directly deal deal the problems related to old age ; therefore are not to ease the
146,For example they can play football whenever they want but the olders can not . ,For example they can play football whenever they want but the older ones cannot . ,For example they can play football whenever they want but the olders can not,For example they can play football they they want but but the the not not,"For example they can play play whenever they want , the the can not"
147,Another factor is that SWCR only can react under the very high pressure .,Another factor is that SWCR only can react under very high pressure .,Another factor is that SWCR only can react under the very high pressure,Another factor is that that that can to under the the high .,Another factor is that the only can to under the the high .
148,"The respective governments must take into consideration that within the aged population there are people whom are childless , single or even deserted by their own children .","The respective governments must take into consideration that within the aged population there are people who are childless , single or even deserted by their own children .","The respective governments must take into consideration that within the aged population there are people whom are childless , single or even deserted by their own children","The our governments must take into consideration that within the aged population there are people people are who , , or even . by their own their their","The the governments must take into consideration that within the aged population there are people who who are , are or or , the their their their children"
149,"Therefore , factors such as safety concern and corporate profitability have played a part in shaping the technological innovation , refrigeration .","Therefore , factors such as safety concerns and corporate profitability have played a part in shaping the technological innovation of refrigeration .","Therefore , factors such as safety concern and corporate profitability have played a part in shaping the technological innovation , refrigeration","Therefore , factors such as safety concerned and and your , , a a in the the the budget , .","Therefore , factors such as safety concern and and financial problems by a a in in the the the , , ."
150,They are go on do it and do it for better . ,They go on and do it better . ,They are go on do it and do it for better,They are go on do it and do it it better,They are go on do it and do it for better
151,"If this trend continues , Singapore will be second after Japan demographic age .","If this trend continues , Singapore will be second after Japan .","If this trend continues , Singapore will be second after Japan demographic age","If this trend continues , Singapore will be the after Japan the age .","If this trend continues , Singapore will will a after the the the after"
152,A good government has to come out with a clear policy to benefit for its people together with the concern towards the environment .,A good government has to come out with a clear policy to benefit its people 'as well ' as be concerned about the environment environment .,A good government has to come out with a clear policy to benefit for its people together with the concern towards the environment,A good government has to come out with a clear policy to benefit for its people together with the concern .,A good government has to come out with a clear policy to benefit for its people together with the concerned towards the environment
153,Public spending on the aged should be limited so that money can be diverted to other areas of the country 's development .,""" Public spending on the aged should be limited so that money can be diverted to other areas of the country 's development "" .",Public spending on the aged should be limited so that money can be diverted to other areas of the country 's development,Public spending on the aged should be limited so so money can be not to to the of,Public spending on the aged should be limited so that money can be be to areas
154,"Singapore has also help working adults to save money when they are working so that when they retire , they will still have money for living expenses .","Singapore has also helped working adults to save money when they are working so that when they retire , they will still have money for living expenses .","Singapore has also help working adults to save money when they are working so that when they retire , they will still have money for living expenses","Singapore has also help working adults to save money when they are working so so when they the , they will will have money money to","Singapore has also help working adults to save money when they are working so that when they they , they they we have money money . expenses expenses"
155,"The personn takes the bike , goes where he wishs and leaves the car to his closest bus station .","The person takes the bike , goes where he wishes and leaves the car near the closest bus station .","The personn takes the bike , goes where he wishs and leaves the car to his closest bus station","The main takes the bike , goes where he wishes and leaves the car to his closest bus station","The the takes the bike , goes where he wishes and and the car to his closest the station station station"
156,"Hence , the use of renewable energy is very important , in our planet 's future development .","Hence , the use of renewable energy is very important in our planet 's future development .","Hence , the use of renewable energy is very important , in our planet 's future development","Hence , the use of built energy is very important , in our planet the . development","Hence , the use of survive energy is very important important in our planet . . ."
157,"Hence , with proper guidance such as genetic counseling , a carrier of a known genetic risk should be obligated to tell his or her relatives .","Hence , with proper guidance such as genetic counseling , a carrier of a known genetic risk should be obligated to tell his or her relatives about his genetic test results .","Hence , with proper guidance such as genetic counseling , a carrier of a known genetic risk should be obligated to tell his or her relatives","Hence , with proper memorizing such as exposure a , a career of a known exposure risk should be to to to his or her her relatives","Hence , with proper guidance such as genetic , , , carrier of a known is risk should be an to to to or or ."
158,Statistics shown that elderly still engage in exercises and the elderly who take part in tai chi are 47 % less likely to fall down due to the increased balancing ability and confidence .,Statistics show that elderly still engage in exercises and the elderly who take part in tai chi are 47 % less likely to fall down due to increased balancing ability and confidence .,Statistics shown that elderly still engage in exercises and the elderly who take part in tai chi are 47 % less likely to fall down due to the increased balancing ability and,Of shown that elderly still are in exercises and the elderly who take part in in chemical in in % less likely likely like down to to to the tax .,"And shown that elderly still who in , and the elderly who take part in higher high , illness , less is is fall fall due to the . ."
159,"Hence , the government can intervene by supporting the elderly using public spending to make sure they are self-sufficient .","Hence , the government can intervene by supporting the elderly using public spending to make sure that they are self-sufficient .","Hence , the government can intervene by supporting the elderly using public spending to make sure they are self-sufficient","Hence , the government can to by in the the the public a to make sure them are .","Hence , the government can to by supporting the elderly the public spending to to to they are are"
160,"With proper regulation and use , RFID tagging may on the contrary to many arguments , ensue greater freedom and privacy given to the person implanted with RFID .","With proper regulation and use , RFID tagging may , on the contrary to many arguments , ensure greater freedom and privacy for the person implanted with RFID .","With proper regulation and use , RFID tagging may on the contrary to many arguments , ensue greater freedom and privacy given to the person implanted with RFID","With proper content and and , , continue , on the , to to you , of of freedom and and and important the the . with with .","With proper regulation and use , , , may on the contrary to many arguments , punishment important freedom and a given to the to a a ."
161,There are a lot of car company and every year they made at least a 6 or 7 or 8 or more new car .,There are a lot of car companies and every year they made at least 6 or more new cars .,There are a lot of car company and every year they made at least a 6 or 7 or 8 or more new car,There are a lot of car company and every year they made at least a a or or or or or or,There are a lot of car company and every year they made at least a a or or or or or
162,"Titanic was equipped with only 20 lifeboats , so that bulky lifeboats would not take up precious deck space for the first class passengers .","The Titanic was equipped with only 20 lifeboats , so that bulky lifeboats would not take up precious deck space for the first class passengers .","Titanic was equipped with only 20 lifeboats , so that bulky lifeboats would not take up precious deck space for the first class passengers","Studio was in with only , , , so that crabs , would not take up precious the space for the","diamond was equipped with only the , , so that and , would not take up precious a space space the the the the the"
163,we are also able to deal the probles found with it . ,We are also able to deal with the problems found with it . ,we are also able to deal the probles found with it,We are also able to deal the . found with .,We are also able to deal the . . . it
164,It is harmful for many others animals as well as it pollutes the water sources . ,"It is harmful for many other animals , and it pollutes the water sources . ",It is harmful for many others animals as well as it pollutes the water sources,It is harmful for many others animals as well as it the the the the .,It is harmful for many others animals as well as as the the the the
165,commonly seen on the roads due to mass production during war .,.,commonly seen on the roads due to mass production during war,commonly seen on the roads due to mass production during war,farmers that on the roads due to mass production during war
166,"Really successful people gained their fortune by doing somethig new , something that no one else has ever done before , that means that nobody knew how to do it well that was their risk . ","Really successful people gained their fortune by doing somethig new , something that no one else has ever done before , that means that nobody knew how to do it well that was their risk . ","Really successful people gained their fortune by doing somethig new , something that no one else has ever done before , that means that nobody knew how to do it well that","Really is people getting to some by doing making new , something something , , else has ever been before , , that that that knew that to to it it","Really successful people gained their people by doing something new , something something no things things are have done before before that that that that that that that do that it"
167,He knows many countries around the world .,He knows many countries around the world .,He knows many countries around the world,He knows many countries around the world world,He knows many countries around the world world
168,This indicates that a job loss of around 1500 is incurred .,This indicates that a job loss of around 1500 will be incurred .,This indicates that a job loss of around 1500 is incurred,This indicates that a job loss of around tournament is .,This indicates that a job loss of of of is
169,"Moreover , the high operating temperature of VHTR also results in higher fuel burn-up ratio of the fissionable materials in the uranium pellets ( DOE , 2008 ) .","Moreover , the high operating temperature of the VHTR also results in higher fuel burn-up ratio of the fissionable materials in the uranium pellets ( DOE , 2008 ) .","Moreover , the high operating temperature of VHTR also results in higher fuel burn-up ratio of the fissionable materials in the uranium pellets ( DOE , 2008 )","Moreover , the high design temperature of the also results in higher fuel fuel ratio of the the materials in the . Trip","Moreover , the high operating temperature of of of results in higher is pattern of of of of of of the"
170,"It is true that there still exists dangers , however , with the develop of the technology , it is desirable that those dangers could be overcome .","It is true that dangers still exist , however , with the development of the technology , it is desirable that those dangers could be overcome .","It is true that there still exists dangers , however , with the develop of the technology , it is desirable that those dangers could be overcome","It is true that there still still of , however , , the develop of the technology , it is is that those the them be overcome .","It is true that there still exists is , , , , , , of the of , , is to that that that one be be be"
171,"Firstly , investment for the old is an issue of morality .","Firstly , investment for the elderly is an issue of morality .","Firstly , investment for the old is an issue of morality","Firstly , , for the old is an issue of .","Firstly , investment for the old is an issue"
172,"Thus , focusing on social development as a whole , and improving living condition throughout the life of people is actually better way to help people gain a better health and become less vulnerable when they are aged .","Thus , focusing on social development as a whole , and improving living condition throughout the life of people is actually a better way to help people gain a better health and become less vulnerable when they are aged .","Thus , focusing on social development as a whole , and improving living condition throughout the life of people is actually better way to help people gain a better health and become","Thus , focusing on social development as a whole , and improving living condition throughout the life of people is actually better way to help people gain get better . and","Thus , focusing on social development as a whole , and improving living the throughout the life of of is is better to to help to gain gain better . and"
173,Its operating temperature is as low as the SWCR 's .,Its operating temperature is as low as SWCR 's .,Its operating temperature is as low as the SWCR 's,Its works temperature is as low as the . .,Its operating temperature is as low as as the
174,"For example , if more public spending on education will be raising more productive children so that more affluent future generation and the size of tomorrow 's economy could be increased .","For example , more public spending on education will raise more productive children so that a more affluent future generation can be produced and the size of tomorrow 's economy can be increased .","For example , if more public spending on education will be raising more productive children so that more affluent future generation and the size of tomorrow 's economy could be increased","For example , if more public spending on education will be for more and children so so more languages languages generations and the the of the the .","For example , if more public spending on education will be can more more more more that more more the generations and the the of of . ."
